id,Entity,Code,Day,stay_home_requirements
119200,Sweden,SWE,2021-08-09,1
119201,Sweden,SWE,2021-08-10,1
119202,Sweden,SWE,2021-08-11,1
119203,Sweden,SWE,2021-08-12,1
119204,Sweden,SWE,2021-08-13,1
119205,Sweden,SWE,2021-08-14,1
119206,Sweden,SWE,2021-08-15,1
119207,Sweden,SWE,2021-08-16,1
119208,Sweden,SWE,2021-08-17,1
119209,Sweden,SWE,2021-08-18,1
119210,Sweden,SWE,2021-08-19,1
119211,Sweden,SWE,2021-08-20,1
119212,Sweden,SWE,2021-08-21,1
119213,Sweden,SWE,2021-08-22,1
119214,Sweden,SWE,2021-08-23,1
119215,Sweden,SWE,2021-08-24,1
119216,Sweden,SWE,2021-08-25,1
119217,Sweden,SWE,2021-08-26,1
119218,Sweden,SWE,2021-08-27,1
119219,Sweden,SWE,2021-08-28,1
119220,Sweden,SWE,2021-08-29,1
119221,Sweden,SWE,2021-08-30,1
119222,Sweden,SWE,2021-08-31,1
119223,Sweden,SWE,2021-09-01,1
119224,Sweden,SWE,2021-09-02,1
119225,Sweden,SWE,2021-09-03,1
119226,Sweden,SWE,2021-09-04,1
119227,Sweden,SWE,2021-09-05,1
119228,Sweden,SWE,2021-09-06,1
119229,Sweden,SWE,2021-09-07,1
119230,Sweden,SWE,2021-09-08,1
119231,Sweden,SWE,2021-09-09,1
119232,Sweden,SWE,2021-09-10,1
119233,Sweden,SWE,2021-09-11,1
119234,Sweden,SWE,2021-09-12,1
119235,Sweden,SWE,2021-09-13,1
119236,Sweden,SWE,2021-09-14,1
119237,Sweden,SWE,2021-09-15,1
119238,Sweden,SWE,2021-09-16,1
119239,Sweden,SWE,2021-09-17,1
119240,Sweden,SWE,2021-09-18,1
119241,Sweden,SWE,2021-09-19,1
119242,Sweden,SWE,2021-09-20,1
119243,Sweden,SWE,2021-09-21,1
119244,Sweden,SWE,2021-09-22,1
119245,Sweden,SWE,2021-09-23,1
119246,Sweden,SWE,2021-09-24,1
119247,Sweden,SWE,2021-09-25,1
119248,Sweden,SWE,2021-09-26,1
119249,Sweden,SWE,2021-09-27,1
119250,Sweden,SWE,2021-09-28,1
119251,Sweden,SWE,2021-09-29,0
119252,Sweden,SWE,2021-09-30,0
119253,Sweden,SWE,2021-10-01,0
119254,Sweden,SWE,2021-10-02,0
119255,Sweden,SWE,2021-10-03,0
119256,Sweden,SWE,2021-10-04,0
119257,Sweden,SWE,2021-10-05,0
119258,Sweden,SWE,2021-10-06,0
119259,Sweden,SWE,2021-10-07,0
119260,Sweden,SWE,2021-10-08,0
119261,Sweden,SWE,2021-10-09,0
119262,Sweden,SWE,2021-10-10,0
119263,Sweden,SWE,2021-10-11,0
119264,Sweden,SWE,2021-10-12,0
119265,Sweden,SWE,2021-10-13,0
119266,Sweden,SWE,2021-10-14,0
119267,Sweden,SWE,2021-10-15,0
119268,Sweden,SWE,2021-10-16,0
119269,Sweden,SWE,2021-10-17,0
119270,Sweden,SWE,2021-10-18,0
119271,Sweden,SWE,2021-10-19,0
119272,Sweden,SWE,2021-10-20,0
119273,Sweden,SWE,2021-10-21,0
