,Media_Adwell_upperfunnel_native,Media_Bing_lowerfunnel_search_brand,Media_Bing_midfunnel_search_midbrand,Media_Bing_upperfunnel_search_nobrand,Media_DBM_lowerfunnel_display,Media_DBM_midfunnel_display,Media_DBM_upperfunnel_display,Media_DBM_upperfunnel_video,Media_DC_DBM_upperfunnel_video,Media_Eurosize_upperfunnel_OOH_JCD,Media_Eurosize_upperfunnel_OOH_VA,Media_Facebook_lowerfunnel_display,Media_Facebook_lowerfunnel_video,Media_Facebook_upperfunnel_display,Media_Facebook_upperfunnel_video,Media_Flygstart_upperfunnel_newsletter,Media_Google_lowerfunnel_display,Media_Google_lowerfunnel_search_brand,Media_Google_midfunnel_display,Media_Google_midfunnel_search_midbrand,Media_Google_upperfunnel_display,Media_Google_upperfunnel_search_nobrand,Media_Google_video_lowerfunnel_Youtube,Media_Google_video_upperfunnel_Youtube,Media_HejSenior_upperfunnel_newsletter,Media_Instagram_lowerfunnel_display,Media_Instagram_lowerfunnel_video,Media_Instagram_upperfunnel_display,Media_Instagram_upperfunnel_video,Media_MediaMath_upperfunnel_video,Media_Newsletter_lowerfunnel,Media_Newsner_midfunnel_native,Media_Online_radio_upperfunnel,Media_Radio_upperfunnel,Media_Secreteescape_midfunnel_display,Media_Smarter_Travel_upperfunnel_affiliate,Media_Snapchat_upperfunnel_display,Media_Snapchat_upperfunnel_video,Media_Sociomantic_lowerfunnel_retarg_display,Media_Sociomantic_upperfunnel_prospecting_display,Media_TV_upperfunnel,Media_Tiktok_upperfunnel_video,Media_TradeTracker_upperfunnel_affiliate,Media_Youtube_Masthead_upperfunnel_video
2017-08-16,0,348.0,158.0,929.0,0.0,0.0,0.0,0,0.0,0,0,1443.0,0.0,39.0,109.0,0.0,414.0,759.0,10992.0,5843.0,2108.0,14199.0,0.0,157.0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,19.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-17,0,311.0,175.0,765.0,0.0,0.0,0.0,0,0.0,0,0,1966.0,0.0,47.0,64.0,0.0,313.0,474.0,9450.0,6731.0,2329.0,13297.0,0.0,166.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,21.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-18,0,245.0,126.0,804.0,0.0,0.0,0.0,0,0.0,0,0,3270.0,0.0,28.0,72.0,0.0,255.0,553.0,10216.0,5787.0,1863.0,11400.0,0.0,159.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,11.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-19,0,154.0,115.0,658.0,0.0,0.0,0.0,0,0.0,0,0,2505.0,0.0,33.0,55.0,0.0,130.0,521.0,10598.0,4584.0,1017.0,12722.0,0.0,177.0,0.0,10.0,0.0,0.0,0.0,0,1078.0,0.0,0,0,0.0,10.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-20,0,202.0,135.0,778.0,0.0,0.0,0.0,0,0.0,0,0,1501.0,0.0,32.0,69.0,0.0,160.0,623.0,11685.0,7410.0,979.0,13403.0,0.0,217.0,0.0,8.0,0.0,0.0,0.0,0,768.0,0.0,0,0,0.0,11.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-21,0,323.0,170.0,904.0,0.0,0.0,0.0,0,0.0,0,0,1404.0,0.0,32.0,85.0,0.0,213.0,729.0,10495.0,6140.0,751.0,14206.0,0.0,155.0,0.0,9.0,0.0,0.0,0.0,0,413.0,0.0,0,0,0.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-22,0,346.0,155.0,923.0,0.0,0.0,0.0,0,0.0,0,0,1298.0,0.0,29.0,69.0,0.0,113.0,562.0,11150.0,6989.0,642.0,12931.0,0.0,179.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,14.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-23,0,275.0,187.0,889.0,0.0,0.0,0.0,0,0.0,0,0,1264.0,0.0,28.0,63.0,0.0,62.0,644.0,11079.0,5152.0,650.0,13797.0,0.0,160.0,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,8.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-24,0,290.0,124.0,862.0,0.0,0.0,0.0,0,0.0,0,0,1269.0,0.0,25.0,50.0,0.0,64.0,440.0,10064.0,6422.0,703.0,14070.0,0.0,140.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,7.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-08-25,0,244.0,145.0,817.0,0.0,0.0,0.0,0,0.0,0,0,1285.0,0.0,30.0,60.0,0.0,82.0,531.0,10926.0,5656.0,658.0,11802.0,0.0,143.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0
