Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsborg 2;97160;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-01-01 00:00:00;1974-12-31 23:59:59;15.0;59.2524;17.7989
1975-01-01 00:00:00;2022-02-28 23:59:59;8.671;59.2518;17.7960

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1970-12-07 06:00:01;1970-12-08 06:00:00;1970-12-07;regn;Y
1970-12-13 06:00:01;1970-12-14 06:00:00;1970-12-13;duggregn;Y
1970-12-14 06:00:01;1970-12-15 06:00:00;1970-12-14;snowfall;Y
1970-12-17 06:00:01;1970-12-18 06:00:00;1970-12-17;regn;Y
1970-12-20 06:00:01;1970-12-21 06:00:00;1970-12-20;snowfall;Y
1970-12-21 06:00:01;1970-12-22 06:00:00;1970-12-21;snowfall;Y
1970-12-22 06:00:01;1970-12-23 06:00:00;1970-12-22;snowfall;Y
1970-12-27 06:00:01;1970-12-28 06:00:00;1970-12-27;snöbyar;Y
1970-12-28 06:00:01;1970-12-29 06:00:00;1970-12-28;snöbyar;Y
1970-12-29 06:00:01;1970-12-30 06:00:00;1970-12-29;snöbyar;Y
1970-12-30 06:00:01;1970-12-31 06:00:00;1970-12-30;snowfall;Y
1970-12-31 06:00:01;1971-01-01 06:00:00;1970-12-31;snöbyar;Y
1971-01-04 06:00:01;1971-01-05 06:00:00;1971-01-04;snowfall;Y
1971-01-05 06:00:01;1971-01-06 06:00:00;1971-01-05;snöblandat regn;Y
1971-01-07 06:00:01;1971-01-08 06:00:00;1971-01-07;snöblandat regn;Y
1971-01-13 06:00:01;1971-01-14 06:00:00;1971-01-13;duggregn;Y
1971-01-17 06:00:01;1971-01-18 06:00:00;1971-01-17;snowfall;Y
1971-01-19 06:00:01;1971-01-20 06:00:00;1971-01-19;snöblandat regn;Y
1971-01-20 06:00:01;1971-01-21 06:00:00;1971-01-20;duggregn;Y
1971-01-22 06:00:01;1971-01-23 06:00:00;1971-01-22;regn;Y
1971-01-23 06:00:01;1971-01-24 06:00:00;1971-01-23;regn;Y
1971-01-24 06:00:01;1971-01-25 06:00:00;1971-01-24;regnskurar;Y
1971-01-25 06:00:01;1971-01-26 06:00:00;1971-01-25;regn;Y
1971-01-26 06:00:01;1971-01-27 06:00:00;1971-01-26;regn;Y
1971-01-27 06:00:01;1971-01-28 06:00:00;1971-01-27;duggregn;Y
1971-02-02 06:00:01;1971-02-03 06:00:00;1971-02-02;snowfall;Y
1971-02-06 06:00:01;1971-02-07 06:00:00;1971-02-06;regn;Y
1971-02-08 06:00:01;1971-02-09 06:00:00;1971-02-08;snowfall;Y
1971-02-12 06:00:01;1971-02-13 06:00:00;1971-02-12;regn;Y
